,"Total, 16
years and
 over","16 to 19 
years","20 to 24 
years","25 to 34 
years","35 to 44 
years","45 to 54 
years","55 to 64 
years","65 years
and over","Median
 age"
Total employed,"142,469","4,426","13,408","30,701","30,576","32,874","23,239","7,245",42.3
"Management, professional, and related occupations","54,043",339,"2,690","11,894","12,810","13,329","9,908","3,074",44.4
"Management, business, and financial operations occupations","22,678",67,817,"4,236","5,436","6,171","4,457","1,494",46.2
Management occupations,"16,042",52,500,"2,691","3,829","4,571","3,260","1,140",47.1
Chief executives,"1,513",1,5,107,318,532,413,136,52.0
General and operations managers,"1,064",0,30,193,283,326,195,37,45.1
Legislators,11,0,0,1,1,3,3,3,–
Advertising and promotions managers,77,0,8,19,23,15,9,3,39.7
Marketing and sales managers,967,2,43,238,284,244,136,21,42.2
Public relations and fundraising managers,58,0,1,19,12,13,11,2,42.1
Administrative services managers,144,0,5,17,25,55,35,7,49.6
Computer and information systems managers,605,1,6,106,222,172,89,11,43.7
Financial managers,"1,228",1,37,287,296,331,220,55,44.6
Compensation and benefits managers,15,0,0,4,4,4,4,0,–
Human resources managers,224,1,4,40,58,72,43,6,46.0
Training and development managers,36,1,2,6,5,14,8,1,–
Industrial production managers,261,1,5,39,59,94,50,12,47.7
Purchasing managers,218,0,7,33,48,81,44,6,48.3
"Transportation, storage, and distribution managers",287,1,10,57,76,78,52,13,44.7
"Farmers, ranchers, and other agricultural managers",944,12,31,88,111,201,249,252,55.9
Construction managers,983,1,24,150,239,318,200,52,47.8
Education administrators,811,1,18,117,221,218,191,45,47.0
Architectural and engineering managers,120,0,0,16,31,40,28,5,48.7
Food service managers,"1,085",22,140,273,234,245,135,36,39.7
Funeral service managers,13,0,0,0,2,4,3,5,–
Gaming managers,26,0,4,6,6,7,1,1,–
Lodging managers,154,0,6,32,26,37,34,19,48.3
Medical and health services managers,585,0,8,89,125,176,148,40,49.3
Natural sciences managers,18,0,0,3,6,5,4,0,–
Postmasters and mail superintendents,39,0,1,2,8,13,13,3,–
"Property, real estate, and community association managers",644,1,10,109,125,172,139,87,50.2
Social and community service managers,315,0,15,56,84,72,59,28,46.2
Emergency management directors,6,0,1,0,1,2,2,0,–
"Managers, all other","3,594",7,79,583,897,"1,028",748,253,47.4
Business and financial operations occupations,"6,636",15,317,"1,546","1,607","1,600","1,197",355,44.1
"Agents and business managers of artists, performers, and athletes",47,1,3,10,13,7,7,4,–
"Buyers and purchasing agents, farm products",13,0,0,2,3,3,3,2,–
"Wholesale and retail buyers, except farm products",198,3,14,47,38,39,47,11,44.4
"Purchasing agents, except wholesale, retail, and farm products",261,1,11,40,65,71,65,9,47.5
"Claims adjusters, appraisers, examiners, and investigators",323,0,12,75,86,73,61,16,44.3
Compliance officers,199,0,1,36,47,57,51,6,46.9
Cost estimators,114,0,7,20,30,23,24,9,45.6
Human resources workers,603,1,31,148,168,141,97,16,42.5
"Compensation, benefits, and job analysis specialists",71,0,2,13,19,16,20,1,46.1
Training and development specialists,126,0,4,28,34,30,25,4,43.8
Logisticians,94,0,4,26,20,28,12,4,45.1
Management analysts,773,1,25,151,178,181,160,77,47.0
"Meeting, convention, and event planners",127,2,15,41,28,24,11,7,38.4
Fundraisers,86,2,8,24,19,18,12,3,40.2
Market research analysts and marketing specialists,219,0,14,68,57,48,27,6,40.9
"Business operations specialists, all other",251,2,9,59,59,71,41,10,45.1
Accountants and auditors,"1,765",1,95,443,436,424,274,91,42.8
Appraisers and assessors of real estate,93,0,1,16,16,27,25,7,50.5
Budget analysts,55,0,0,11,14,17,10,3,46.5
Credit analysts,30,0,4,13,6,5,2,0,–
Financial analysts,89,0,7,25,27,21,7,2,39.4
Personal financial advisors,378,0,19,79,87,83,78,31,45.7
Insurance underwriters,103,0,2,23,24,30,21,3,45.9
Financial examiners,14,0,2,6,1,2,2,1,–
Credit counselors and loan officers,333,1,13,98,75,83,57,6,42.4
"Tax examiners and collectors, and revenue agents",82,0,1,14,14,32,17,4,48.7
Tax preparers,107,0,6,12,25,23,23,17,49.6
"Financial specialists, all other",82,0,6,18,19,23,14,3,43.9
Professional and related occupations,"31,365",272,"1,874","7,657","7,373","7,158","5,451","1,580",43.1
Computer and mathematical occupations,"3,816",11,213,"1,062","1,103",873,461,94,40.9
Computer and information research scientists,29,0,3,10,4,10,2,0,–
Computer systems analysts,499,1,17,126,123,134,80,19,43.4
Information security analysts,52,0,2,14,17,11,6,1,41.4
Computer programmers,480,2,33,113,132,124,66,11,41.6
"Software developers, applications and systems software","1,084",1,53,338,348,226,102,16,39.7
Web developers,190,1,21,72,48,28,16,4,36.5
Computer support specialists,476,3,45,130,127,90,72,9,40.4
Database administrators,101,0,1,14,35,36,12,3,44.8
