,2015,,,,,,,,
,"Total, 16
years and
 over","16 to 19 
years","20 to 24 
years","25 to 34 
years","35 to 44 
years","45 to 54 
years","55 to 64 
years","65 years
and over","Median
 age"
Total employed,"148,834","4,734","14,022","32,742","31,252","32,643","24,975","8,465",42.3
"Management, professional, and related occupations","57,960",384,"3,073","13,154","13,553","13,668","10,392","3,737",44.1
"Management, business, and financial operations occupations","24,108",85,930,"4,787","5,567","6,279","4,697","1,764",45.9
Management occupations,"16,994",60,534,"3,000","3,972","4,643","3,452","1,334",46.9
Chief executives,"1,517",0,6,121,286,493,436,176,52.5
General and operations managers,899,2,27,211,238,247,146,28,43.7
Legislators,13,0,0,1,4,4,2,2,–
Advertising and promotions managers,67,0,10,15,16,13,9,4,38.9
Marketing and sales managers,"1,006",3,55,260,261,242,155,30,42.2
Public relations and fundraising managers,61,0,2,18,15,15,10,1,42.6
Administrative services managers,195,1,3,29,44,59,46,14,48.5
Computer and information systems managers,652,1,11,104,217,197,102,20,44.5
Financial managers,"1,197",1,31,243,317,347,200,58,45.0
Compensation and benefits managers,23,0,0,5,4,8,5,0,–
Human resources managers,290,0,5,49,89,90,47,9,44.8
Training and development managers,41,0,2,3,15,11,8,2,–
Industrial production managers,280,2,1,48,70,93,59,7,47.1
Purchasing managers,198,0,6,28,58,49,42,13,46.5
"Transportation, storage, and distribution managers",263,1,7,57,66,70,52,10,44.7
"Farmers, ranchers, and other agricultural managers","1,052",7,30,128,137,201,272,276,54.8
Construction managers,737,0,22,134,173,194,180,34,47.2
Education administrators,928,4,21,138,261,261,186,56,46.2
Architectural and engineering managers,110,0,0,16,26,40,23,5,49.0
Food service managers,"1,192",23,151,321,253,257,138,49,39.3
Funeral service managers,15,0,0,4,4,4,2,1,–
Gaming managers,23,0,1,8,7,3,4,1,–
Lodging managers,159,1,9,31,36,39,25,19,44.7
Medical and health services managers,636,0,11,127,140,184,135,40,47.2
Natural sciences managers,25,0,2,5,8,6,3,1,–
Postmasters and mail superintendents,24,0,0,1,2,12,5,4,–
"Property, real estate, and community association managers",685,2,21,111,128,144,166,113,50.1
Social and community service managers,378,2,10,93,66,89,81,36,46.5
Emergency management directors,10,0,0,0,3,1,4,1,–
"Managers, all other","4,315",11,87,692,"1,027","1,269",908,320,47.6
Business and financial operations occupations,"7,114",25,396,"1,788","1,595","1,636","1,245",430,43.5
"Agents and business managers of artists, performers, and athletes",46,1,7,14,8,9,3,3,–
"Buyers and purchasing agents, farm products",10,0,0,3,0,1,4,2,–
"Wholesale and retail buyers, except farm products",190,2,18,45,32,37,43,13,45.0
"Purchasing agents, except wholesale, retail, and farm products",280,0,16,51,63,71,59,20,46.7
"Claims adjusters, appraisers, examiners, and investigators",321,1,11,89,80,81,48,11,42.3
Compliance officers,246,2,6,45,59,63,58,13,47.7
Cost estimators,112,0,5,21,23,25,28,10,48.5
Human resources workers,662,4,42,193,160,152,88,23,40.9
"Compensation, benefits, and job analysis specialists",68,0,3,13,14,22,15,2,45.9
Training and development specialists,118,1,9,29,22,30,24,4,42.9
Logisticians,117,1,14,34,28,21,18,2,38.6
Management analysts,848,2,27,162,187,215,168,86,46.9
"Meeting, convention, and event planners",159,4,28,52,26,21,22,5,36.0
Fundraisers,77,0,8,19,11,20,13,4,43.5
Market research analysts and marketing specialists,261,1,27,83,56,59,25,9,38.4
"Business operations specialists, all other",213,1,10,46,53,54,42,7,43.8
Accountants and auditors,"1,732",1,79,450,388,397,302,115,44.0
Appraisers and assessors of real estate,76,0,0,6,18,21,23,8,51.0
Budget analysts,44,0,1,9,8,10,12,4,–
Credit analysts,21,0,2,5,6,4,3,1,–
Financial analysts,322,1,25,114,80,54,37,10,38.5
Personal financial advisors,498,1,23,136,119,99,87,34,43.0
Insurance underwriters,107,0,4,26,22,26,27,2,45.0
Financial examiners,15,0,1,1,4,6,2,1,–
Credit counselors and loan officers,332,2,14,88,85,92,43,9,42.1
"Tax examiners and collectors, and revenue agents",58,0,0,16,7,15,15,5,48.8
Tax preparers,109,1,9,21,19,15,23,20,48.1
"Financial specialists, all other",71,0,7,17,17,13,11,6,42.7
Professional and related occupations,"33,852",299,"2,143","8,366","7,986","7,390","5,695","1,973",42.8
Computer and mathematical occupations,"4,369",20,266,"1,234","1,224",951,565,109,40.8
Computer and information research scientists,24,0,1,7,8,4,3,0,–
Computer systems analysts,552,1,26,142,160,125,82,17,42.1
Information security analysts,70,0,2,17,19,16,12,4,44.7
Computer programmers,480,2,28,108,127,123,77,15,43.1
"Software developers, applications and systems software","1,353",1,74,438,387,280,148,25,39.7
Web developers,204,3,29,73,57,28,11,2,35.9
Computer support specialists,475,6,40,129,122,96,71,12,40.5
Database administrators,93,0,1,17,20,31,20,4,47.0
Network and computer systems administrators,218,0,8,64,65,55,23,3,41.2
Computer network architects,114,0,1,24,45,28,10,6,41.6
"Computer occupations, all other",547,8,42,141,148,121,77,12,41.2
Actuaries,21,0,0,9,5,4,2,1,–
Mathematicians,6,0,0,0,0,5,1,1,–
Operations research analysts,123,0,4,34,39,23,18,5,41.9
Statisticians,86,0,9,30,23,13,9,3,37.9
Miscellaneous mathematical science occupations,4,0,1,1,0,0,0,1,–
Architecture and engineering occupations,"2,954",15,189,719,636,708,535,153,43.6
"Architects, except naval",203,2,3,51,43,51,34,19,44.2
"Surveyors, cartographers, and photogrammetrists",38,0,2,7,10,7,10,2,–
Aerospace engineers,138,0,7,33,22,35,33,7,47.3
Agricultural engineers,6,0,0,2,2,0,2,0,–
Biomedical engineers,16,0,1,6,2,4,2,1,–
Chemical engineers,84,0,7,23,19,17,14,4,41.5
Civil engineers,360,0,26,100,64,87,56,27,43.4
Computer hardware engineers,72,0,2,11,19,23,14,2,44.9
Electrical and electronics engineers,302,1,8,61,66,88,60,16,46.2
Environmental engineers,40,1,2,14,11,5,6,2,–
"Industrial engineers, including health and safety",214,0,14,58,44,48,41,8,42.6
Marine engineers and naval architects,11,0,0,2,4,2,2,1,–
Materials engineers,40,0,3,12,7,6,8,2,–
Mechanical engineers,323,0,22,96,75,74,44,12,41.2
"Mining and geological engineers, including mining safety engineers",15,0,1,7,2,2,3,1,–
Nuclear engineers,6,0,0,1,1,1,2,0,–
Petroleum engineers,44,0,4,13,12,7,9,1,–
"Engineers, all other",440,1,20,95,101,108,91,23,45.3
Drafters,133,1,12,37,27,31,19,6,41.7
"Engineering technicians, except drafters",403,8,49,72,91,97,75,11,43.2
Surveying and mapping technicians,65,1,6,17,13,13,8,7,41.4
"Life, physical, and social science occupations","1,404",11,118,358,331,267,226,94,42.1
Agricultural and food scientists,25,0,2,7,4,7,3,1,–
Biological scientists,86,0,9,19,22,13,20,3,42.7
Conservation scientists and foresters,25,0,1,5,7,5,5,1,–
Medical scientists,157,0,13,54,43,27,12,8,38.8
"Life scientists, all other",1,0,0,0,1,0,0,0,–
Astronomers and physicists,19,0,1,6,2,2,4,4,–
Atmospheric and space scientists,12,0,0,1,2,3,4,1,–
Chemists and materials scientists,99,0,3,23,25,19,19,9,45.0
Environmental scientists and geoscientists,92,0,4,23,17,18,23,7,47.5
"Physical scientists, all other",232,0,18,62,52,51,35,14,42.7
Economists,34,0,1,10,11,6,5,2,–
Survey researchers,0,0,0,0,0,0,0,0,–
Psychologists,193,0,0,42,53,33,44,22,45.8
Sociologists,1,0,0,0,0,0,0,1,–
Urban and regional planners,25,0,2,4,7,3,7,2,–
Miscellaneous social scientists and related workers,45,0,4,9,10,12,6,4,–
Agricultural and food science technicians,25,0,2,9,6,3,5,1,–
Biological technicians,18,0,1,7,5,4,0,1,–
Chemical technicians,82,0,11,18,26,14,10,3,40.1
Geological and petroleum technicians,21,0,0,4,2,7,6,2,–
Nuclear technicians,3,0,0,0,0,2,0,0,–
Social science research assistants,4,0,1,1,0,1,0,1,–
"Miscellaneous life, physical, and social science technicians",203,9,44,53,34,36,18,9,34.3
Community and social service occupations,"2,596",16,134,595,569,599,466,216,44.5
Counselors,802,8,55,195,195,158,144,47,42.9
Social workers,765,2,38,200,190,183,107,45,42.4
Probation officers and correctional treatment specialists,99,1,2,22,29,29,12,4,43.7
Social and human service assistants,194,2,12,53,38,48,33,9,42.3
"Miscellaneous community and social service specialists, including health educators and community health workers",117,0,8,37,22,25,19,5,42.5
Clergy,469,0,10,58,74,125,115,87,52.4
"Directors, religious activities and education",78,0,6,21,12,15,17,6,43.5
"Religious workers, all other",73,3,3,9,10,16,20,12,51.4
Legal occupations,"1,803",4,38,402,427,391,347,193,45.8
Lawyers,"1,160",0,4,246,290,256,222,143,46.4
Judicial law clerks,13,0,0,10,1,1,0,1,–
"Judges, magistrates, and other judicial workers",58,0,0,7,6,13,18,13,55.4
Paralegals and legal assistants,400,4,27,97,93,89,68,24,42.6
Miscellaneous legal support workers,172,1,7,42,38,32,39,13,45.9
"Education, training, and library occupations","8,908",120,664,"1,981","2,074","1,965","1,545",559,43.1
Postsecondary teachers,"1,341",7,101,289,267,259,262,155,45.5
Preschool and kindergarten teachers,695,12,78,201,160,134,85,25,38.8
Elementary and middle school teachers,"3,152",11,147,761,838,744,504,146,42.8
Secondary school teachers,"1,144",6,59,262,291,260,210,55,43.4
Special education teachers,330,1,9,73,87,82,64,14,45.0
Other teachers and instructors,876,52,133,170,153,151,137,81,40.6
"Archivists, curators, and museum technicians",53,0,5,11,14,10,12,2,43.0
